,director,country,date_added,imdbRating,imdbVotes,language,time,season,type_Movie,type_TV Show,genre,cast_shows,cast_movies
106,0,1,2018.0,6.7,305.0,1,106 ,0,1.0,0.0,0.0,0.0,0.0
107,0,1,2017.0,6.2,2345.0,1,58 ,0,1.0,0.0,0.0,0.0,0.0
108,0,0,2011.0,6.5,11093.0,1,111 ,0,1.0,0.0,0.0,0.0,0.0
109,0,0,2019.0,5.8,783.0,1,112 ,0,1.0,0.0,0.0,0.0,0.0
110,0,0,2019.0,6.6,31501.0,0,102 ,0,1.0,0.0,0.0,0.0,0.0
111,0,0,2019.0,6.3,118.0,0,152 ,0,0.0,1.0,0.0,0.0,0.0
112,0,0,2018.0,5.1,18891.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
113,0,1,2017.0,6.6,951.0,1,87 ,0,1.0,0.0,0.0,0.0,0.0
114,0,1,2017.0,7.1,349.0,1,99 ,0,1.0,0.0,0.0,0.0,0.0
115,0,1,2014.0,7.0,1861.0,1,78 ,0,1.0,0.0,0.0,0.0,0.0
116,0,1,2019.0,6.4,195.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
117,0,0,2019.0,6.3,3871.0,0,121 ,0,1.0,0.0,0.0,0.0,0.0
118,0,1,2019.0,6.8,19781.0,1,91 ,0,1.0,0.0,0.0,0.0,0.0
121,0,1,2019.0,5.2,11415.0,1,119 ,0,1.0,0.0,0.0,0.0,0.0
122,0,1,2018.0,4.2,41051.0,1,83 ,0,1.0,0.0,0.0,0.0,0.0
123,0,0,2017.0,6.6,59.0,1,182 ,0,1.0,0.0,0.0,0.0,0.0
124,0,0,2017.0,4.3,231.0,1,106 ,0,1.0,0.0,0.0,0.0,0.0
125,0,0,2019.0,5.6,2988.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
126,0,0,2019.0,6.8,887.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
127,0,0,2018.0,2.9,1229.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
128,0,1,2017.0,5.9,2416.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
129,0,1,2017.0,6.3,22794.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
130,0,1,2019.0,4.8,555.0,1,124 ,0,1.0,0.0,0.0,0.0,0.0
131,0,1,2019.0,4.1,212.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
132,0,1,2019.0,5.3,720.0,1,83 ,0,1.0,0.0,0.0,0.0,0.0
133,0,0,2016.0,7.2,5882.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
134,0,0,2016.0,6.6,2526.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
135,0,0,2019.0,7.2,10928.0,0,0,1 ,0.0,1.0,0.0,0.0,0.0
136,0,0,2019.0,6.3,134.0,1,0,1 ,1.0,0.0,1.0,0.0,0.0
137,0,1,2018.0,7.4,12356.0,1,82 ,0,1.0,0.0,0.0,0.0,0.0
138,0,1,2018.0,5.8,12038.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
139,0,0,2017.0,7.0,11594.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
140,0,1,2017.0,5.3,26547.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
141,0,0,2015.0,3.3,6106.0,0,102 ,0,1.0,0.0,0.0,0.0,0.0
142,0,0,2019.0,5.7,266.0,0,103 ,0,1.0,0.0,0.0,0.0,0.0
143,0,1,2019.0,5.0,105.0,1,87 ,0,1.0,0.0,0.0,0.0,0.0
146,0,0,2019.0,7.7,9018.0,1,116 ,0,0.0,1.0,0.0,0.0,0.0
147,0,0,2018.0,7.2,325.0,0,139 ,0,0.0,1.0,0.0,0.0,0.0
148,0,1,2018.0,6.9,409.0,1,101 ,0,0.0,1.0,0.0,0.0,0.0
149,0,0,2018.0,8.6,6766.0,0,0,1 ,0.0,1.0,0.0,0.0,0.0
150,0,1,2018.0,7.8,65590.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
151,0,0,2018.0,7.6,3657.0,1,130 ,0,1.0,0.0,0.0,0.0,0.0
153,0,1,2018.0,7.0,4849.0,0,84 ,0,0.0,1.0,0.0,0.0,0.0
154,0,1,2019.0,6.1,26483.0,1,112 ,0,1.0,0.0,0.0,0.0,0.0
155,0,1,2019.0,7.2,3171.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
156,0,1,2019.0,7.7,4092.0,1,62 ,0,0.0,1.0,0.0,0.0,0.0
157,0,1,2019.0,6.9,3337.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
158,0,1,2019.0,7.6,13809.0,1,112 ,0,0.0,1.0,0.0,0.0,0.0
159,0,0,2019.0,4.1,639.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
160,0,1,2019.0,7.9,8937.0,1,103 ,0,0.0,1.0,0.0,0.0,0.0
161,0,1,2019.0,7.0,322.0,1,64 ,0,0.0,1.0,0.0,0.0,0.0
164,0,1,2019.0,5.6,972.0,1,82 ,0,0.0,1.0,0.0,0.0,0.0
165,0,1,2018.0,7.3,1534.0,1,80 ,0,1.0,0.0,0.0,0.0,0.0
167,0,0,2018.0,6.3,83.0,1,88 ,0,1.0,0.0,0.0,0.0,0.0
168,0,1,2016.0,5.0,245.0,1,124 ,0,1.0,0.0,0.0,0.0,0.0
169,0,0,2018.0,6.2,29.0,0,104 ,0,1.0,0.0,0.0,0.0,0.0
170,0,1,2018.0,7.6,73.0,1,76 ,0,0.0,1.0,0.0,0.0,0.0
171,0,1,2017.0,5.8,333.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
172,0,1,2017.0,6.9,2010.0,1,92 ,0,1.0,0.0,0.0,0.0,0.0
173,0,0,2017.0,5.6,1877.0,1,0,1 ,1.0,0.0,1.0,0.0,0.0
174,0,1,2016.0,8.3,1554.0,1,91 ,0,0.0,1.0,0.0,0.0,0.0
175,0,1,2016.0,7.0,222.0,1,93 ,0,0.0,1.0,0.0,0.0,0.0
